Yorum,Duygu
Bu fiyat bandýnda alýnabilecek en iyi fiyat performans bilgisayar  Keþke daha uygun fiyatlarda olabilse ama pek mümkün deðil bu ekonomik ortamda  Her þeyiyle süper PC ,1
Ürün harika paketlenmiþti  Kargo evime söylendiði tarihte ulaþtý  Bilgisayar desen ayrý bir kalite tam anlamýyla efsane ötesi birþey jerkrse tavsiye ederim ,1
Gerçekten bu zamanda alýnabilecek fiyat performans bir laptop hýzýndan memnunum sadece ssd ve ram eklemesi yapacaðým bunun dýþýndan harika ötesi bir bilgisayar tereddüt edenler hiç düþünmeden alabilir tavsiye ederim,1
Ürünü indirimden aldým fakat ýþýk hüzmesi ve 2 tane ölü piksel geldi  Deðiþim için talep açtým,0
Ürün elime yanlýþ geldi  ürünü deðiþtireceðiz dediler ne zaman bilmiyorum  Beni çok maðdur ettiler  Hiç memnun deðilim  Hepsiburadan beklemezdim ,0
Format atarken ssd yi görmüyor  Asus destek videolarýný izleyerek çözdüm  Kargo çok yavaþtý onun dýþýnda fiyat performans ürünü hafýza ve ram i artýrabiliyorsunuz,0
Ürün aldýk ancak birtürü eindows kurulu mu yapamadýk  Biraz uðraþtýrýcý,0
Hiç beðenmedim  Windows yok  Kurulum yok  Hiç beðenmedim  Almasaydim    ,0
Ürün tam bir fiyat performans ürünü  Bu fiyata daha iyisi var mý bilmiyorum ama çok araþtýrarak aldým bu özelliklere sahip diðer markalar neredeyse 2 katý daha pahalý  tek beðenmediðim özelliði oyun oynarken pil saðlýðý için þarja takýlý oynamanýz gerekiyor ama þuanda her laptop ayný hpye özel biþey olmadýðý için biþey diyemiyorum ,1
malzeme kalitesi ve ekraný çok iyi ,1
Bilgisayarin özelliklerinden þüphem yoktu ancak tek soru iþaretim bu fiyattaki bir ürünün teslimatiyla ilgili sorun olup olmayacagiydi  Ne üründe ne teslimatta hicbir sorun yasamadim gayet memnunum  Bilgisayarla ilgili eksi olarak kabul edilirse tek sorun biraz parmak izi birakmasi onun haricinde hicbir sorun yok,1
Ölü pikselli ürünü gondermisler  Gidin biraz daha para verin baþka marka bakýn,0
Ses kalitesi çok kötü  malzeme kalitesi çok kötü  ekran ýþýk sýzdýrýyor karanlýk sahnelerde ekran beyaz ýþýk sýzdýrýyor,0
"Ekranda ýþýk sýzmasý dahi yok  Soðutma mükemmel-140 w grafik kartý-3 ms 165 hz 2k ekran süper  Aliminyum kasa- 330 w adaptör  Diðer laptop markasýna sadece ismi için para ödemeyin  Makine süper  Ha bu arada diðer markanýn birçok modelinde ekranlar 7 ms ,)",1
Her yönden güzel memnun kaldým oyun performansý güzel,1
2 gün önce aldýðým bilgisayar açýlmýyor,0
Ürünü aldým açýlmýyor hata veriyor iade edeceðim,0
Çook uzun araþtýrmalar sonunda bu laptop satýn aldýk her yönüyle dört dörtlük bir ürün gerçekten,1
Makine mühendisi olarak Solidworks ve AutoCAD gibi uygulamalarý kolayca çalýþtýrýyor  Ekraný   büyüklüðü ve kalitesi olarak süper  Tavsiye ederim,1
Ürünü alalý neredeyse 1 ay oldu  Cihaz gerçekten tam f/p ürünü  Bu fiyatlara bu kaliblere de bilgisayarlar çok daha pahalý  Goggle'da arka arkaya 10 sekme bile açsam kasma yapmýyor  Adobe 2023 programýný kullanýyorum  Hiç bir þekilde donma kasma olmadý  Klavye ýþýðý var  Ben beðendim  Onun dýþýnda huawei kendine özel ekosistem oluþturmuþ  Ama keþke diðer marka telefonlar içinde kolay bir baðlanma seçeneði olsaydý keþke  Bataryasý 3 saate yakýn kullanýlýyor Oyun oynamadým ama düþük grafiklerde oyunlarý rahatlýkla açtýðýný okudum ve gördüm  Birde ýþýk süzmesi var diyorlar ama benim cihazýmda böyle bir sýkýntý yok  Genel olarak 10/8 bir bilgisayar ,1
Fiyat  performans  batarya  16:10 ekran  malzeme kalitesi bu nesil için mükemmel  Kesinlikle tavsiye  Ram onboard malesef büyütme þansý yok ,1
Tek kelimeyle mükemmel Hepsiburada ya çok teþekkür ediyorum  Ellerinize Emeðinize saðlýk iþiniz her zaman rast gitsin  Herkese gözükapalý tavsiye ediyorum ,1
Ürün tek kelime ile harika ofis olarak çok uygun gönül rahatlýðýyla alabilirsiniz ,1
Çok yüksek fan sesi var,0
Kesinlikle tavsiye etmiyorum,0
Ürünü teslim aldým fatura ve garanti belgesi çýkmadý içinden,0
Ürün kaliteli ama saðlam deðil ekran koruyucu takmak istedim ekraný hafif bastýrdým ekran çatladý 9300 tl de ekran deðiþimi ücreti istedi servis alýrken bunlarý da göz önünde bulundurun ürün güzel tamam ama insan bunu biraz saðlam yapar sanki üzerinde tepindimiþim gibi çatladý bu kadar dayanýksýz olduðunu bilmiyordum,0
Þifresi bloke oldu en az 1 ay kullanamayacaðým ,0
ekran camýnýn içindeki ikinci ekran dedikleri yer inanýlmaz hassas  ekrana hafif bir baský yapmayla kýrýlýveriyor  Ýnternetten araþtýrdýðýmda bu problemi yaþayan birçok kiþi olduðunu fark ettim  Yetkili servis 13 500TL'ye ekraný deðiþtirdi  Bu kadar dayanýksýz olmasý çok üzücü ,0
Sadece yazý cizi internet kullanýmý için aldým  Ama arada sýrada fotoðraf açarken bile kasýyor  Keþke 16gb alsaydým diyorum,0
Þarj kablosu bozuk çýktý böyle bi þans görülmemiþ dünyada  ,0
Görüntü kalitesi berbat  batarya performansý çok iyi iþlemcisi günlük kullanýmda çok iyi ancak oyuna gelirsek vasat ekran aþýrý göz yoruyor fiyatýna göre idaeal tabi malzeme kaliteside beklemeyin,0
Yüksek lisans öðrencisi olduðum için iþlerimi hýzlý ve güvenli bir þekilde yapabildiðim taþýnabilir güzel bir laptop  Çok hýzlý bir þekilde açýlýp  kapanýyor  Oldukça memnunum  Batarya performansý aktif kullanýmda yaklaþýk 3 - 3 5 saat aralýðýnda gidiyor  Ofis ve eðitim iþleri için oldukça ideal olduðunu düþünüyorum ,1
Ben üniversitede derslere girmek ödev hazýrlamak vsin kullanýyorum gayet yeterli güzel ve ince bir bilgisayar  Ayrýca oyun performansý da yeterli düzeyde ,1
F/p ürünü  Taþýmak için boyutu ideal iþ bilgisayarý  Evrak çantasýna rahatlýkla sýðýyor  Genelde word benzeri programlar için kullanýyorum gayet yeterli ,1
Kompakt ve performansli bir urun  Bu fiyat bandinda daha iyisini bulmak cok zor  Lenovo kalitesi her zamanki gibi sasirtmadi ,1
1 ayý geçti yoðun kullanýyorum  gayet memnunum verdiðim her kuruþu hakediyor  Ekran baþta biraz küçük geldi ama alýþýnca çok þýk kibar ,1
Gayet iyi tavsiye edilir ,1
Gayet güzel zaten win kurulu geliyor ki bu özelliklere bu fiyat her türlü alýnýr ,1
Aydýnlatmalý ve sývý dökülmesine karþý korunaklý klavyesi bilgisayarýn süsü  Ben biraz da buna aldanýp aldým  Tavsiye etmiyorum  Bilgisayar hantal ve en temel görevlerini yapmakta bile yetersiz  RAM 8 GB olsaydý belki idare ederdi  Bu haliyle Windows kullanýlamýyor  Ýade ediyorum  Benim için zaman ve emek kaybý oldu ,0
Beþ para etmez  bir saate açýlýyor  verilen paraya deðmez  görüntü de kötü,0
Ssd olmayan bir pc sakýn almayýn,0
Aþýrý ýsýnýyor  Sýkýntýlý ürünmü geldi anlamadým 14 gün içinde pek klullanmadým iþ yoðunluðundan  bu süre bittiði için iade edemedim Korkuyorum ürün ýsýnarak élimde patlayacak diye,0
Bilgisayarý açtýðýmda sesi gelmiyor yeniden baþlatýnca sesi geliyor ne yaptýysam düzeltemedim garantiye vermeyi düþünüyorum,0
Ürün fiyatýna göre kýyasla üst kalite,1
Merhaba ürünügenel  tez yazmak için  aldým fakat ürünü açtýðýmýzda hoparlöründen pýt pýt sesler gelmekte ve hoparlör olan kýsýmlari ýsýnmakta (berbat bir koku oluþmakta) ürüne ihtiyacým olduðu için geri göndere medim,0
Ýlk defa Macbook kullanýyorum  Windows sonrasý açýkçasý biraz zorlandým ancak alýþýnca çok daha kolay gelmeye baþladý  Apple kalitesi kesinlikle kendisini hissettiriyor  Yeni M2 iþlemci ile çok daha güçlü bir bilgisayar  Þuana kadar genel olarak çok memnunum  Kesinlikle tavsiye ederim,1
Ürünü cidden büyük bir umutla aldým  Bilgisayarda oyun oynayacaksanýz almayýn baþka bir þey demiyorum  Valorant fps deðerleri oyun içi asla 400 leri geçmez ve 300 lerdede stabil kalmaz asla  En düþük ayarlarda fps deðerleri 180-300 arasý oynuyor oyun içi  Cs go fps deðerleri en düþük ayarlarda 230-350 arasý oynuyor  Oyunlarda adam gördüðünüzde veyahut skiller atýldýðýnda fps inanýlmaz bir þekilde düþüyor !!!!!!!!!!!,0
