SINIF,YORUM
Thunderstorm Wind,Large tree down between Plantersville and Nettleton.
Heavy Rain,One to two feet of deep standing water developed on a street on the Winthrop University campus after more than an inch of rain fell in less than an hour. One vehicle was stalled in the water.
Thunderstorm Wind,NWS Columbia relayed a report of trees blown down along Tom Hall St.
Thunderstorm Wind,Media reported two trees blown down along I-40 in the Old Fort area.
Hail,
Thunderstorm Wind,A few tree limbs greater than 6 inches down on HWY 18 in Roseland.
Thunderstorm Wind,Awning blown off a building on Lamar Avenue. Multiple trees down near the intersection of Winchester and Perkins.
Hail,Quarter size hail near Rosemark.
Thunderstorm Wind,Tin roof ripped off house on Old Memphis Road near Billings Drive. Several large trees down in the area.
Thunderstorm Wind,Powerlines down at Walnut Grove and Cherry Lane roads.
Thunderstorm Wind,Trees reported down across the county.
Thunderstorm Wind,Large tree down on powerlines in Caruthersville.
Excessive Heat,Heat Indices of 110 degrees or greater.
Excessive Heat,Heat indices of 110 degrees or greater.
Thunderstorm Wind,Several trees and power lines down in Strayhorn.
Thunderstorm Wind,A large tree fell and broke through the roof of a home in the 700 block of Honduras road.
Excessive Heat,Heat indices of 110 degrees or higher.
Thunderstorm Wind,Three trees down on HWY 224.
Excessive Heat,Heat indices of 110 degrees or higher.
Excessive Heat,Heat Indices of 110 degrees or greater.
Excessive Heat,Heat Indices of 110 degrees or greater.
Excessive Heat,Heat Indices of 110 degrees or greater.
Excessive Heat,Heat Indices of 110 degrees or greater.
Excessive Heat,Heat Indices of 110 degrees or greater.
Excessive Heat,Heat Indices of 110 degrees or greater.
Excessive Heat,Heat Indices of 110 degrees or greater.
Thunderstorm Wind,Numerous trees were reported down in the Greenback area.
Thunderstorm Wind,Numerous trees were reported down in Seymour. A few homes suffered minor structural damage while the roof was removed from the Dollar General Store on highway 441.
Thunderstorm Wind,Several trees were reported down across the southern part of the county.
Hail,
Lightning,Lightning struck a tree and then traveled into the ground rupturing a gas line. This sparked a fire in the front yard of the residence. Two homes were evacuated for a short time. No homes were damaged and no one was injured.
Thunderstorm Wind,NWS storm survey estimated 70 mph winds occurred in the community of Driscoll. Many large trees were blown down. Several moderate to poorly constructed homes suffered roof damage.
Thunderstorm Wind,A few trees were reported down one mile north of Tellico Plains.
Winter Storm,Snowfall reports between 30 and 36 inches were received across western Loudoun County. Snowfall totaled up to 36.3 inches near Round Hill. A report of 36.0 inches was received near Bluemont.
Hail,Measured size of the hail was 3.75 inches in diameter.
Thunderstorm Wind,Estimated time of report from radar.
Hail,Golf ball size hail broke rain gauge.  Estimated time of report from radar.
Hail,Golf ball size hail broke windows
Tornado,A short-lived tornado touched down southwest of Lake City. This tornado was only on the ground for about 2 minutes and the damage was limited to snapped off hardwood trees.
Thunderstorm Wind,Several large tree branches were blown down in Osage.
Thunderstorm Wind,An estimated 60 mph wind gust occurred northwest of Genoa.
Hail,
Hail,Measured size of the hail was 3.75 inches in diameter.
Hail,Estimated time of report from radar.
Hail,
Hail,
Thunderstorm Wind,Structural damage to homes as well as several trees blown down in Max.  Tree trunk snapped off half way up the tree and a tree branch roughly 9 inches in diameter broken off a tree.  A camper blown on its side against a carport next to the camper.  Another carport in town had most of its siding ripped off.  A tree was blown down onto a house in town.  The west wall of a house in town has the siding torn off of it.  An irrigation pivot was destroyed near Max.
Hail,Ping pong ball size hail was reported.
Thunderstorm Wind,A tree fell onto a car four miles west southwest of Knoxville.
Thunderstorm Wind,Two trees were reported in Tellico Plains.
Thunderstorm Wind,A tree was reported down on a home one mile northeast of Knoxville.
Thunderstorm Wind,Several trees were reported down across the county.
Thunderstorm Wind,One tree was reported down.
Strong Wind,Wind gusts of 40 to 45 mph were common across Buffalo County during the morning and early afternoon of April 2nd.
Strong Wind,Strong southerly gradient winds affected the Nashville metro during the afternoon hours on April 6. A peak wind gust of 49 mph (43 knots) was measured at the Nashville International Airport ASOS at 145 PM CDT. A few trees were blown down across Davidson County
Strong Wind,Wind gusts of 40 to 50 mph were common across Crawford County during the morning and early afternoon of April 2nd. The highest recorded wind gust was 49 mph by a mesonet station near Mt. Sterling.
Thunderstorm Wind,A few trees were blown down in Waverly.
Thunderstorm Wind,A few scattered trees were blown down in McEwen.
Thunderstorm Wind,A tree was blown down across Jim Kim Road at Highway 13.
Winter Storm,Snowfall totaled up to 35.0 inches near Berryville. A report of 28.5 inches was received from Boyce.
Strong Wind,Wind gusts of 40 to 45 mph were common across Juneau County during the morning and early afternoon of April 2nd. The highest recorded wind gust was 45 mph by the automated weather observing equipment at Volk Field.
Winter Storm,Snowfall amounts between 19 and 32 inches were reported across Prince William County. Snowfall totaled up to 30.0 inches near Bull Run and 18.5 inches of snow was reported near Dumfries.
Winter Storm,Snowfall amounts between 17 and 24 inches were reported across Spotsylvania County.
Strong Wind,Wind gusts of 40 to 50 mph were common across Vernon County during the morning and early afternoon of April 2nd. The highest recorded wind gust was 48 mph by the automated weather observing equipment at the Viroqua airport.
Strong Wind,Wind gusts of 40 to 50 mph were common across Trempealeau County during the morning and early afternoon of April 2nd. The highest recorded wind gust was 47 mph by a mesonet station south of Arcadia.
Wildfire,
Thunderstorm Wind,A small shed was blown down and a lean to horse barn was blown into a house causing some roof damage. Time estimated from radar.
Hail,
Wildfire,
Hail,Reported via MPing.
Hail,
Hail,
Hail,
Hail,
Hail,Hail combined with wind damaged a subway sandwich shop. The front window was broken out.
Hail,Wind driven hail resulted in numerous holes in siding on the south side of a house.
Thunderstorm Wind,Winds downed trees and powerlines.
Hail,No damage was reported.
Thunderstorm Wind,
Hail,No damage was reported.
Hail,
Hail,No damage was reported.
Hail,
Hail,No damage was reported.
Hail,
Strong Wind,Wind gusts of 40 to 50 mph were common across Grant County during the morning and early afternoon of April 2nd. The highest recorded wind gust was 47 mph by the automated weather observing equipment at the Platteville airport. A camper was destroyed when the strong winds tipped it over along U.S. Highway 18 near Patch Grove.
Winter Storm,Snowfall amounts between 15 and 24 inches were reported across Stafford County.
Winter Storm,Snowfall totaled up to 16.0 near Shiloh and 14.0 in Jersey.
Thunderstorm Wind,"Two trees were reported down near Newport, one on Highway 160 and another was downed on Highway 321. Another tree was downed in downtown Newport."
Thunderstorm Wind,Two trees were reported down in Athens.
Thunderstorm Wind,A few trees were reported down across the county.
Thunderstorm Wind,Several trees were reported down across the southern half of the county.
Hail,Quarter sized hail was reported in Farragut.
Thunderstorm Wind,Two large tree limbs were reported down.
Strong Wind,Wind gusts of 35 to 40 mph were common across Monroe County during the morning and early afternoon of April 2nd. The highest recorded gust was 40 mph by the automated weather observing equipment at the Sparta airport.
Hail,
Hail,
Hail,
Hail,
Hail,
Hail,
Hail,
Hail,
Hail,Relayed by Hughes county EM. No damage reported.
Winter Storm,Snowfall amounts were estimated to be between 24 and 36 inches based on observations nearby.
Winter Storm,Snowfall amounts were reported to be between 18 and 30 inches across southern Fauquier County. A snowfall report of 30.0 inches was received in Opal and 18.0 inches of snow fell near Bealeton.
Thunderstorm Wind,A tree was blown down on Elder Street in Clarksville.
Thunderstorm Wind,A #tSpotter Twitter report indicated a tree was snapped onto Ridge Circle near Old Game Farm Road.
Thunderstorm Wind,Old shed knocked down
Heavy Snow,Three to seven inches of snow fell across interior Plymouth County.
Heavy Snow,Three to eight inches of snow fell across Suffolk County.
Winter Weather,One to seven inches of snow fell across southern Worcester County with the highest amounts falling in the extreme southern portion of the county.
Heavy Snow,Approximately nine inches of snow fell in Bristol County.
Heavy Snow,Seven to eight inches of snow fell across western Kent County.
Winter Weather,Two to seven inches of snow fell across coastal Norfolk County with the highest amounts falling in the Blue Hills.
Heavy Snow,Seven to thirteen inches of snow fell across south coastal Plymouth County.  Strong
Winter Weather,Around one inch of snow was reported by spotters around the county
Winter Weather,Around half of an inch of snow was reported by spotters around the county
Winter Weather,Around an inch of snow was reported by spotters around the county
Winter Weather,Around an inch of snow was reported by spotters around the county.
Winter Weather,Spotters reported between a half of an inch and one inch across the county.
Hail,Dime size hail fell in Bernice.
Hail,A picture was posted to the Union Parish Sheriff's Office Facebook page of quarter size hail that fell at the intersection of LA 15 and LA 549 just north of Farmerville.
Thunderstorm Wind,A tree was blown down on West Adair Street.
Thunderstorm Wind,A peak gust of 81 mph was measured at the FSU Coastal and Marine Lab Weatherstem site on the Franklin county coast.  There was also some tree damage in the area and light debris scattered such as metal siding.  Minor damage also occurred to a greenhouse.  Damage was estimated.
Flood,The stream gauge on Deer Creek at Darlington reached a flood stage of 10 feet. The gauge peaked at 10.13 feet at 23:30 EST. Water approached Wilsons Mill near Darlington.
Flood,The stream gauge on East Branch Herbert Run at Arbutus reached a flood stage of 7 feet. The gauge peaked at 7.18 feet at 19:15 feet. Water covered yards near Tom Day Boulevard.
